Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Einheit,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
DER NORDERNEYER,Seeluftschinken,"2.99
*",,,nur,je 100 g,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_111.jpg
,Kalbsschnitzel,22.90,,,nur,je kg,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_112.jpg
Rehbraten/-gulasch,aus der Keule,"28.90
*",,,nur,je kg,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_113.jpg
,Norweg. Lachsfilet,"14.99
*",,,nur,je kg,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_114.jpg
K-BLUE BAY,Knusper-Backfisch XXL,"5.49
*",,1 kg = 9.81,nur,je 2 St. = 560-g-Großpackg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_115.jpg
LANDLIEBE,"Frische Weidemilch 3,8 % Fett",1.79,,1 l = 1.20,nur,"je 1,5-l-Packg.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_116.jpg
ARLA,Skyr Natur,1.49,1.99,1 kg = 3.32 - 3.73,-25%,je 400 - 450-g-Becher,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_117.jpg
DR. OETKER,Paula,1.49,,1 kg = 2.98 - 3.73,nur,je 4 - 8 Becher = 400 - 500-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_119.jpg
EHRMANN,"High Protein Pudding, Drink oder Joghurt",0.88,,1 kg = 4.40,nur,je 200-g-Becher oder 250-ml-Fl.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_120.jpg
MÜLLER,Müllermilch,0.66,,1 l = 1.65,nur,je 400-ml-Fl.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_121.jpg
EMMI,Caffè Latte,1.29,2.39,1 l = 5.61,-46%,je 230-ml-Becher,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_122.jpg
EHRMANN,Obstgarten,0.49,0.79,1 kg = 3.92,-37%,je 125-g-Becher,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_124.jpg
ST. MANG,Limburger oder Rubius,1.99,,1 kg = 9.95 - 11.06,nur,je 180 - 200-g-Stück,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_125.jpg
ALPENHAIN,Obazda,1.49,2.29,1 kg = 11.92,-34%,je 125-g-Becher,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_126.jpg
K-CLASSIC,Mini-Mozzarella 45 % Fett i. Tr.,0.99,1.29,Abtropfgewicht 125 g 1 kg = 7.92,-23%,je 245-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_127.jpg
KIRI,Mit Sahne,2.79,3.99,1 kg = 15.50,-30%,je 10 St. = 180-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_129.jpg
K-CLASSIC,Schmelzkäsescheiben,1.49,1.69,1 kg = 5.96,-11%,je 250-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_130.jpg
BONBEL,Franz. Butterkäse,1.79,2.79,1 kg = 17.90,-35%,je 100-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_131.jpg
SALZBURGMILCH,Bergkäse oder Heujuwel,2.49,,1 kg = 9.96,nur,je 250-g-Stück,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_132.jpg
FERDI FUCHS,Cheese-Sticks/Gouda-Scheiben,1.39,,1 kg = 17.38,nur,je 80-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_133.jpg
LEERDAMMER Pizza- & Pasta-,oder Auflauf-Genuss,1.99,2.89,1 kg = 12.44,-31%,je 160-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_134.jpg
BRESSO,Frischkäse oder Frischkäsezubereitung,1.11,,1 kg = 7.40 - 9.25,nur,je 120 - 150-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_135.jpg
GALBANI,Ricotta,1.99,2.79,1 kg = 7.96,-28%,je 250-g-Becher,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_136.jpg
LÄTTA,Brotaufstrich,1.19,2.19,1 kg = 2.65,-45%,je 450-g-Becher,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_137.jpg
ROYAL ORANGE,Maasdam,0.79,,,nur,je 100 g,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_138.jpg
EMMI KALTBACH,Le Gruyère AOP,2.49,,,nur,je 100 g,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_139.jpg
GRÜNLÄNDER,Dtsch. Schnittkäse,0.99,2.09,,-52%,je 100 g,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_140.jpg
"CAMBOZOLA, MONTAGNOLO,",ROUGETTE oder FIORELLA DI TOMINO,1.79,2.69,,-33%,je 100 g,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_141.jpg
IGLO,Gemüsestäbchen,2.22,2.99,1 kg = 5.22,-25%,je 15 St. = 426-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_142.jpg
MILKA oder OREO,Stieleis,2.22,3.99,1 l = 8.23,-44%,je 3 St. = 270-ml-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_143.jpg
WALTER GOTT,Ice Cubes oder Crushed Ice,0.99,,1 kg = 0.50,nur,je 2-kg-Beutel,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_144.jpg
ROLDROB,Bio-Hafermastgans,14.99,,entspr. z. B. für ein 3-kg-Stück 44.97,nur,je kg,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_145.jpg
K-CLASSIC,Hähnchen-Knusperdinos,2.49,3.29,1 kg = 6.23,-24%,je 400-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_146.jpg
,Barbarie-Ente,5.99,,"entspr. z. B. für ein 2,4-kg-Stück 14.38",nur,je kg,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_147.jpg
GUSTAVO GUSTO,Amore Napoli Pizza,2.99,3.79,1 kg = 8.93 - 9.50,-21%,je 315 - 335-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_148.jpg
COPPENRATH & WIESE,Meistertorte,5.99,8.49,1 kg = 5.45 - 11.98,-29%,je 500 - 1100-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_150.jpg
AGRARFROST,Genießer-Kroketten,1.99,2.49,1 kg = 3.32,-20%,je 600-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_151.jpg
ESCAL,Regenbogen-Forellen,6.99,8.29,,-15%,"je 1 - 1,035-kg-Packg.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_152.jpg
JOSEF MAIER,Hirschbraten,9.99,13.99,1 kg = 16.65,-28%,je 600-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_154.jpg
HILCONA,Tortelloni oder Gnocchi XXL,"2.99
*",,1 kg = 3.99,nur,je 750-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_155.jpg
BÜRGER,Maultaschen,1.49,1.89,1 kg = 4.97,-21%,je 6 St. = 300-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_156.jpg
TANTE FANNY,Frischer Mürbteig oder Honig-Lebkuchenteig,1.99,2.99,1 kg = 4.98 - 5.69,-33%,je 350 - 400-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_157.jpg
SIMPLY V,Vegane Käse-Alternative,1.99,2.49,1 kg = 11.06 - 13.27,-20%,je 150 - 180-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_159.jpg
BÜSUMER FEINKOST,Räucher- oder Graved Lachs,3.69,4.59,1 kg = 36.90,-19%,je 100-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_160.jpg
K-CLASSIC,Pfirsiche,1.49,1.99,Abtropfgewicht 480 g 1 kg = 3.11,-25%,je 820-g-Dose,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_161.jpg
K-CLASSIC,Champignons,0.59,0.79,Abtropfgewicht 170 g 1 kg = 3.48,-25%,je 290-g-Dose,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_162.jpg
K-CLASSIC,Gemüsemais,0.79,0.99,Abtropfgewicht 285 g 1 kg = 2.78,-20%,je 340-g-Dose,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_163.jpg
KÜHNE,Gewürzgurken oder »Dänischer« Gurkensalat,1.59,,Abtropfgewicht 360 g 1 kg = 4.42,nur,je 670-g-Glas,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_164.jpg
HENGSTENBERG,Mildessa,1.49,2.49,Abtropfgewicht 770 g 1 kg = 1.94,-40%,je 810-g-Dose,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_165.jpg
K-CLASSIC,Eintopf,1.49,1.89,1 kg = 1.87,-21%,je 800-g-Dose,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_166.jpg
KÜHNE,Dressing,1.99,,1 l = 3.98,nur,je 500-ml-Fl.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_167.jpg
HEINZ,HP BBQ-Sauce,3.69,,1 kg = 7.86 - 7.94,nur,je 465 - 470-g-Fl.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_169.jpg
BERTOLLI,Natives Olivenöl extra,"15.99
*",,1 l = 10.66,nur,"je 1,5-l-Fl.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_170.jpg
,Sweet Peppacaps,1.59,,,nur,je 100 g,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_171.jpg
Antipasti-Creme,Doppelrahmstufe,0.99,,,nur,je 100 g,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_172.jpg
,Pizza »Mediterran«,"0.75
*",,,nur,je Stück,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_173.jpg
,Quarkbällchen,1.19,,1 kg = 7.09,nur,je 6 St. = 168-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_174.jpg
,Sternberliner,"0.49
*",,,nur,je Stück,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_175.jpg
,Donut »White Frozen«,"0.39
*",,,nur,je Stück,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_176.jpg
,Laugenbrezel,0.29,0.39,,-25%,je Stück,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_177.jpg
,Weizenmischbrot,1.39,,,nur,je 1-kg-Stück,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_178.jpg
,Dinkelvollkornbrötchen,0.39,0.45,,-13%,je Stück,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_179.jpg
K-CLASSIC,Toastbrötchen,0.79,0.99,1 kg = 2.36,-20%,je 6 St. = 335-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_180.jpg
HARRY,Anno 1688,1.89,2.39,1 kg = 3.78,-20%,je 500-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_181.jpg
DR. KARG'S,Crispies,1.99,2.89,1 kg = 11.71,-31%,je 170-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_182.jpg
IBIS,Crêpes,1.49,2.29,1 kg = 8.28,-34%,je 6 St. = 180-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_183.jpg
NISSIN,Cup Noodles,0.89,1.19,1 kg = 13.29 - 14.13,-25%,je 63 - 67-g-Becher,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_185.jpg
KNORR,Feinschmecker Suppe,0.79,,1 l = 1.06 - 1.58,nur,je Beutel,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_186.jpg
KNORR,Fix,0.39,,1 kg = 4.34 - 13.93,nur,je 28 - 90-g-Beutel,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_187.jpg
KNORR,Feinschmecker Sauce,0.79,,1 l = 3.16,nur,je Beutel,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_188.jpg
BERTOLLI,Pasta-Sauce,1.99,2.99,1 kg = 4.98,-33%,je 400-g-Glas,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_189.jpg
SACLA,Creamy Pesto,2.22,3.39,1 kg = 7.66,-34%,je 290-g-Glas,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_190.jpg
SACLA,Bio-Pesto,2.22,3.49,1 kg = 11.69,-36%,je 190-g-Glas,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_191.jpg
K-CLASSIC,Nudeln,0.59,,1 kg = 1.18,nur,je 500-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_192.jpg
ZABLER,Paradiso Bio-Nudeln,1.99,2.99,1 kg = 3.98,-33%,je 500-g-Beutel,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_193.jpg
PFANNI,Kartoffelpüree,1.49,2.49,1 kg = 5.27 - 9.94,-40%,"je 150 - 283,5-g-Packg.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_195.jpg
SCHWARTAU,Konfitüre Extra,1.99,2.69,1 kg = 5.86 - 7.11,-26%,je 280 - 340-g-Glas,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_196.jpg
SCHWARTAU,Samt,1.99,,1 kg = 7.37 - 7.81,nur,je 255 - 270-g-Glas,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_197.jpg
ZENTIS,Nusspli oder Erdnussbutter,1.99,2.99,1 kg = 4.98 - 5.69,-33%,je 350 - 400-g-Glas,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_198.jpg
BAD REICHENHALLER,Alpensalz,0.59,0.75,1 kg = 1.18,-21%,je 500-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_199.jpg
MONDAMIN,Soßenbinder oder Mehlschwitze,1.29,,1 kg = 5.16,nur,je 250-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_200.jpg
DR. OETKER,Kuchenbackmischung »Wolke«,2.49,,1 kg = 5.48 - 5.80,nur,je 430 - 455-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_201.jpg
DR. OETKER,Paradiescreme,0.79,1.29,1 kg = 10.68 - 14.37,-38%,je 55 - 74-g-Beutel,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_202.jpg
SEEBERGER,Datteln,2.22,3.29,1 kg = 11.10,-32%,je 200-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_203.jpg
LAMBERTZ,Composition,3.49,4.99,1 kg = 6.98,-30%,je 500-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_204.jpg
DALLMAYR,Classic,6.79,8.99,1 kg = 13.58,-24%,je 500-g-Vak.-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_205.jpg
KRÜGER FAMILY,Kaffeesticks,1.99,2.79,1 kg = 11.06 - 14.22,-28%,je 10 St. = 140 - 180-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_207.jpg
DALLMAYR,Capsa Kaffeekapseln,2.59,,1 kg = 46.25,nur,je 10 St. = 56-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_208.jpg
TEEKANNE,Wintertee,1.79,2.49,1 kg = 35.80 - 44.20,-28%,"je 18 - 20 Btl. = 40,5 - 50-g-Packg.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_210.jpg
CUPPER,Bio-Tee,1.99,2.95,1 kg = 39.80 - 66.34,-32%,je 20 Btl. = 30 - 50-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_211.jpg
POM-BÄR,Crizzlies Original,1.99,2.89,1 kg = 12.84,-31%,je 155-g-Dose,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_213.jpg
FUNNY-FRISCH,Kesselchips oder Riffels,1.49,2.49,1 kg = 9.94 - 12.42,-40%,je 120 - 150-g-Beutel,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_214.jpg
FUNNY-FRISCH,Erdnuss-Flippies,1.49,,1 kg = 8.52 - 9.94,nur,je 150 - 175-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_216.jpg
MILKA,Schokolade,0.95,,1 kg = 10.00 - 11.18,nur,je 85 - 95-g-Tafel,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_217.jpg
AFTER EIGHT,Hauchdünne Täfelchen,3.99,7.49,1 kg = 9.98,-46%,je 400-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_219.jpg
FERRERO,Die Besten,5.99,7.49,1 kg = 22.27,-20%,je 26 St. = 269-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_220.jpg
HANUTA,Haselnuss-Schnitten,1.99,2.99,1 kg = 9.05,-33%,je 10 St. = 220-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_221.jpg
"LION, NUTS, KITKAT oder",SMARTIES,1.79,,1 kg = 10.79 - 13.17,nur,je 4 - 5 St. = 136 - 166-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_222.jpg
KINDER,Happy Hippo,1.79,,1 kg = 17.30,nur,"je 5 St. = 103,5-g-Packg.",Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_223.jpg
ÜLTJE,Swavy,1.99,,1 kg = 11.71 - 16.59,nur,je 120 - 170-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_224.jpg
K-WINTER EDITION,Mini-Weihnachtsfiguren,2.22,2.99,1 kg = 17.76,-25%,je 125-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_226.jpg
K-WINTER EDITION,Marzipankartoffeln,1.19,1.49,1 kg = 9.52,-20%,je 125-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_227.jpg
K-WINTER EDITION,Marzipanbrot,1.19,,1 kg = 6.80,nur,je 175-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_228.jpg
K-WINTER EDITION,Eierlikörfässchen,1.89,2.29,1 kg = 15.12,-17%,je 125-g-Packg.,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_229.jpg
MILKA,Weihnachts- oder Schneemann,1.19,1.89,1 kg = 23.80 - 26.45,-37%,je 45 - 50-g-Stück,Nein,Dieses Angebot findest du vom 20.11. bis 26.11. in deiner Kaufland-Filiale.,2025-11-20,2025-11-26,images_kaufland/kaufland_offer_232.jpg
