Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Erdbeeren,Keine Marke,"€ 6,3","€ 8,37","pro Einheit = 16,00","Griechenland / Spanien, Kl. I, 500 g Schale oder Heidelbeeren Marokko / Spanien, Kl. I, 125 g Schale oder Brombeeren Mexiko, Kl. I, 125 g Schale",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_001.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,BLS-F301100,ref_000001,obs_0000022919|obs_0000006408|obs_0000030617|obs_0000027419|obs_0000031261|obs_0000029494|obs_0000030915|obs_0000024529|obs_0000031576|obs_0000030564|obs_0000031462|obs_0000000875|obs_0000006265|obs_0000032512|obs_0000033793|obs_0000012233|obs_0000013901|obs_0000034400|obs_0000030989|obs_0000005687|obs_0000006083|obs_0000006092|obs_0000015717|obs_0000013414|obs_0000013418|obs_0000011389|obs_0000030428,obs_0000022919|obs_0000006408|obs_0000030617|obs_0000027419|obs_0000031261|obs_0000029494|obs_0000030915|obs_0000024529|obs_0000031576|obs_0000030564|obs_0000031462|obs_0000000875|obs_0000006265|obs_0000032512
Eis,Langnese Cremissimo,"€ 5,9","€ 11,97","pro Einheit = 2,22","tiefgekühlt, versch. Sorten Einzelpreis: 3.99 ( 3.07 – 5.32 / l)",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_002.jpg,"cat_tiefkuehl,sub_fleischersatz,sub_tk_eis,sub_tk_fertiggerichte,tag_high_protein,tag_ultra_processed",,,ref_000002,obs_0000018692|obs_0000025743|obs_0000017710|obs_0000034392|obs_0000011490|obs_0000025829|obs_0000013168|obs_0000007041|obs_0000013833|obs_0000025236|obs_0000029345|obs_0000030502|obs_0000027306|obs_0000022962|obs_0000028855|obs_0000005945|obs_0000009795|obs_0000025807|obs_0000027474|obs_0000001749|obs_0000001750|obs_0000005210|obs_0000007392|obs_0000008928|obs_0000006504|obs_0000013034|obs_0000009324|obs_0000027503|obs_0000027646|obs_0000005767|obs_0000005768|obs_0000006667|obs_0000006670|obs_0000006159|obs_0000005399|obs_0000005017|obs_0000014373|obs_0000028456|obs_0000012333|obs_0000003118|obs_0000006319|obs_0000000434|obs_0000007599|obs_0000007600|obs_0000008369|obs_0000011056|obs_0000005948|obs_0000006847|obs_0000018370|obs_0000004163,obs_0000018692|obs_0000005767|obs_0000025743|obs_0000025236|obs_0000017710|obs_0000022962|obs_0000034392|obs_0000011490|obs_0000025829|obs_0000013168
Tulpen,Keine Marke,"€ 5,9","€ 5,97","pro Einheit = 5,90","ca. 35 cm, versch. Farben",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_003.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000003,obs_0000034533|obs_0000029749|obs_0000001596|obs_0000034401|obs_0000031365|obs_0000030045,obs_0000034533|obs_0000029749
Lindt Goldhase,Keine Marke,"€ 1,69","€ 3,29","1 kg = 33,80",versch. Sorten,Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_004.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000004,obs_0000013665,obs_0000013665
Butter oder Streichzart,Weihenstephan,"€ 0,99","€ 2,59","1 kg = 3,96","gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_005.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_vegetarian,sub_butter_margarine,sub_milchprodukte",,,ref_000005,obs_0000031125|obs_0000006970|obs_0000030109|obs_0000031974|obs_0000009075|obs_0000001425|obs_0000018644|obs_0000027049|obs_0000002620|obs_0000019493|obs_0000003267|obs_0000021984|obs_0000022502|obs_0000031786|obs_0000024620|obs_0000000107|obs_0000008456|obs_0000008556|obs_0000024999|obs_0000000442|obs_0000000997|obs_0000017835|obs_0000017986|obs_0000026359|obs_0000018391|obs_0000010409|obs_0000034970|obs_0000018772|obs_0000018910|obs_0000002676|obs_0000011042|obs_0000027517|obs_0000011467|obs_0000003386|obs_0000003591|obs_0000003636|obs_0000004174|obs_0000004601|obs_0000012797|obs_0000013125|obs_0000005028|obs_0000022866,obs_0000012198|obs_0000029454|obs_0000005897|obs_0000006296|obs_0000006434|obs_0000014852|obs_0000007149|obs_0000007562|obs_0000016088|obs_0000032534
Dallmayr Prodomo,Keine Marke,"€ 5,99","€ 10,49","1 kg = 11,98","Kaffee gemahlen oder ganze Bohnen, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_006.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000006,obs_0000032404|obs_0000006812|obs_0000007968|obs_0000000917|obs_0000013354|obs_0000023737|obs_0000015684|obs_0000024151|obs_0000023652,obs_0000032404|obs_0000000917|obs_0000013354|obs_0000023737|obs_0000015684|obs_0000024151|obs_0000023652
Neuseeländische Lammkeule,Keine Marke,"€ 12,90","€ 16,90","pro Einheit = 12,90","mit Röhrenknochen, vakuumverpackt, ca. 1.8 kg",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_007.jpg,"cat_fleisch_wurst,diet_lactose_free,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000007,obs_0000026141|obs_0000009956|obs_0000034545|obs_0000009495,obs_0000026141
Spargel weiß violett,Keine Marke,"€ 3,99","€ 4,49","1 kg = 7,98","Griechenland/Peru, Kl. II",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_008.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000008,obs_0000006414|obs_0000007314|obs_0000001516,obs_0000006414
Toffifee,Toffifee,"€ 1,4","€ 1,49","1 kg = 8,00",versch. Sorten,Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_009.jpg,"cat_knabbern_naschen,diet_vegan,diet_vegetarian,tag_ultra_processed",,,ref_000009,obs_0000034826|obs_0000000800|obs_0000027056|obs_0000015039|obs_0000016098|obs_0000013931|obs_0000027374|obs_0000026224|obs_0000001528|obs_0000000139|obs_0000005659|obs_0000032171|obs_0000032691|obs_0000029004|obs_0000006738|obs_0000029689|obs_0000010170,obs_0000034826|obs_0000000800|obs_0000027056|obs_0000015039|obs_0000016098|obs_0000013931|obs_0000027374|obs_0000026224|obs_0000001528
Premium Biere,Keine Marke,"€ 15,98","€ 19,98","1 l = 0,80",versch. Sorten Einzelpreis: 9.99 (1.- / l),Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_010.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000010,obs_0000026342|obs_0000027520|obs_0000013830|obs_0000026248|obs_0000011595,obs_0000026676|obs_0000026342|obs_0000027520
Norwegisches Lachsfilet,Keine Marke,"€ 1,35","€ 1,79","1 kg = 13,49","mit Haut, praktisch grätenfrei, ca. 1 kg",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_011.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,tag_high_protein,tag_proteinreich,tag_whole_food",,,ref_000011,obs_0000028079|obs_0000027994|obs_0000023818|obs_0000024240|obs_0000027591|obs_0000028347|obs_0000010175|obs_0000031809|obs_0000008391|obs_0000034280|obs_0000014208,obs_0000028079|obs_0000027591|obs_0000027994
Persil Waschmittel,Keine Marke,"€ 18,99","€ 27,99","pro Einheit = 0,25",versch. Sorten,Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_012.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegetarian,tag_whole_food",,,ref_000012,obs_0000018449|obs_0000034866|obs_0000027703|obs_0000012875|obs_0000016462|obs_0000023646|obs_0000018542|obs_0000024174|obs_0000019568|obs_0000013946|obs_0000025217|obs_0000026760|obs_0000021665|obs_0000033445|obs_0000012454|obs_0000002728|obs_0000023748|obs_0000023244|obs_0000025812|obs_0000018152|obs_0000017654|obs_0000015109|obs_0000033069|obs_0000022331|obs_0000022340|obs_0000018794|obs_0000020846|obs_0000019827|obs_0000022410|obs_0000012181|obs_0000003486|obs_0000019384|obs_0000017352|obs_0000026568|obs_0000022520|obs_0000025598|obs_0000007921,obs_0000007709|obs_0000006244|obs_0000006761|obs_0000018542|obs_0000019568|obs_0000012454|obs_0000005289|obs_0000033599|obs_0000025598
Bergader Käsescheiben,Keine Marke,"€ 1,69","€ 2,69","1 kg = 11,27 - 13,52","gekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_013.jpg,"cat_molkerei_kaese,diet_vegan,sub_kaese,sub_milchprodukte,tag_ultra_processed,tag_whole_food",,,ref_000013,obs_0000017666|obs_0000020870|obs_0000027787|obs_0000031123|obs_0000025113|obs_0000001181|obs_0000002335|obs_0000018205|obs_0000027170|obs_0000016810|obs_0000034730|obs_0000031666|obs_0000020412|obs_0000024639|obs_0000022214|obs_0000033991|obs_0000002763|obs_0000020051|obs_0000000993|obs_0000002664|obs_0000026217|obs_0000021231|obs_0000025206|obs_0000007782,obs_0000017666|obs_0000027787|obs_0000025113|obs_0000016810|obs_0000020412|obs_0000006985|obs_0000006095|obs_0000005334|obs_0000021231
Wiener Würstchen,Keine Marke,"€ 5,49","€ 6,79","pro Einheit = 5,49",über Buchenholz geräuchert Regionale Verpackungsabweichungen möglich,Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_014.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_wurst,tag_ultra_processed,tag_whole_food",,BLS-W211200,ref_000014,obs_0000006186|obs_0000031274|obs_0000027189|obs_0000035106|obs_0000028276|obs_0000031889|obs_0000005789|obs_0000026784|obs_0000028948|obs_0000034174|obs_0000015758|obs_0000028076|obs_0000031737|obs_0000034811|obs_0000032355|obs_0000007858|obs_0000020658|obs_0000031934|obs_0000034981|obs_0000030926|obs_0000030949|obs_0000025857|obs_0000025858|obs_0000021769|obs_0000030483|obs_0000021477|obs_0000031788|obs_0000029297|obs_0000030838|obs_0000009369|obs_0000007849|obs_0000021268|obs_0000032077|obs_0000009557|obs_0000030549|obs_0000021884|obs_0000020449|obs_0000030125,obs_0000006186|obs_0000031274|obs_0000027189|obs_0000035106|obs_0000028276|obs_0000031889|obs_0000005789|obs_0000026784|obs_0000028948|obs_0000034174|obs_0000015758|obs_0000028076|obs_0000031737|obs_0000034811
Coca-Cola,Coca-Cola,"€ 4,99","€ 9,54","1 l = 0,67","teilw. koffeinhaltig, versch. Sorten Einzelpreis: 1.59 zzgl. Pfand 0.25 ( 1.27 / l)",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_015.jpg,"cat_getraenke,sub_tk_fertiggerichte,tag_high_protein,tag_proteinreich,tag_ultra_processed",,,ref_000015,obs_0000023586|obs_0000001110|obs_0000024676|obs_0000024165|obs_0000001642|obs_0000023740|obs_0000034042|obs_0000034648|obs_0000033681|obs_0000034234|obs_0000034810|obs_0000005638|obs_0000030302|obs_0000032440|obs_0000005827|obs_0000029418|obs_0000006901|obs_0000006909|obs_0000029979|obs_0000006021|obs_0000032705|obs_0000030680|obs_0000007669|obs_0000032254|obs_0000026646|obs_0000028226|obs_0000004177|obs_0000031900|obs_0000021663|obs_0000026287|obs_0000026323|obs_0000008921|obs_0000017639|obs_0000000810|obs_0000016686|obs_0000009023|obs_0000022338|obs_0000017246|obs_0000020844|obs_0000016754|obs_0000028026|obs_0000027015|obs_0000027037|obs_0000009119|obs_0000019364|obs_0000005031|obs_0000000445|obs_0000018375|obs_0000003042|obs_0000004604,obs_0000005638|obs_0000023586|obs_0000001110|obs_0000030302|obs_0000024676|obs_0000024165|obs_0000001642|obs_0000032440|obs_0000023740|obs_0000005827|obs_0000029418|obs_0000006901|obs_0000034042|obs_0000006909|obs_0000029979|obs_0000034648|obs_0000006021|obs_0000033681|obs_0000034234|obs_0000032705|obs_0000030680|obs_0000007669|obs_0000034810|obs_0000032254
Jack Daniel s Tennessee Whiskey,Keine Marke,"€ 15,99","€ 19,99","1 l = 22,84",40 % Vol.,Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_016.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000016,obs_0000032446|obs_0000029438|obs_0000032027|obs_0000007454|obs_0000007084|obs_0000028134|obs_0000028331|obs_0000001910,obs_0000028331|obs_0000032446|obs_0000017117|obs_0000029438|obs_0000032027|obs_0000007454|obs_0000016869
Kiwi grün,Keine Marke,"€ 1,1","€ 1,17","pro Einheit = 1,10","Italien/Griechenland, Kl. I Einzelpreis: 0.39",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_017.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food",,,ref_000017,obs_0000027156|obs_0000026390|obs_0000001072|obs_0000003522|obs_0000000503|obs_0000034118|obs_0000034917|obs_0000010274,obs_0000027156|obs_0000026390|obs_0000001072|obs_0000003522|obs_0000000503
Kopfsalat,Keine Marke,"€ 1,0",,"pro Einheit = 1,00","Italien, Kl. I",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_018.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_whole_food",,BLS-G105100,ref_000018,obs_0000027225|obs_0000007524|obs_0000010982|obs_0000005322|obs_0000006090|obs_0000005520|obs_0000006421|obs_0000006077|obs_0000013717|obs_0000013161|obs_0000012718|obs_0000015313|obs_0000014426,obs_0000027225
Auberginen,Keine Marke,"€ 1,5","€ 1,58","pro Einheit = 0,79","Spanien, Kl. I",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_019.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,BLS-G510100,ref_000019,obs_0000006269,obs_0000006269
Rote Bete,Keine Marke,"€ 1,4","€ 1,49","1 kg = 2,00",gekocht,Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_020.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,,ref_000020,obs_0000001276|obs_0000022850|obs_0000027790|obs_0000027407|obs_0000010671|obs_0000010561|obs_0000015720|obs_0000030205|obs_0000023016,obs_0000001276
Heimat-Logo-Neu Zwiebeln rot,Keine Marke,"€ 1,0",,"pro Einheit = 1,00","Deutschland/Niederlande, Kl. II",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_021.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000021,obs_0000010332|obs_0000033910|obs_0000027284|obs_0000019110|obs_0000009977|obs_0000008443|obs_0000009515|obs_0000025391|obs_0000027439|obs_0000008014|obs_0000026474|obs_0000028015|obs_0000028061|obs_0000027041,
Lauch,Keine Marke,"€ 0,79",,"pro Einheit = 0,79","Deutschland/Niederlande, Kl. I",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_022.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,BLS-T410100,ref_000022,obs_0000034311|obs_0000026094|obs_0000027699|obs_0000033912|obs_0000026201|obs_0000027963,obs_0000034311|obs_0000026094|obs_0000027699|obs_0000033912|obs_0000026201|obs_0000027963
Weißkohl,Keine Marke,"€ 1,0","€ 1,19","pro Einheit = 1,00","Deutschland, Kl. I",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_023.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,BLS-G342100,ref_000023,obs_0000027011|obs_0000020711|obs_0000027384|obs_0000029196|obs_0000026706|obs_0000025695|obs_0000021530|obs_0000014335|obs_0000010524,obs_0000027011|obs_0000020711|obs_0000027384|obs_0000029196|obs_0000026706|obs_0000025695|obs_0000021530|obs_0000014335
Knoblauch,Keine Marke,"€ 1,0","€ 1,49","1 kg = 6,67","Argentinien/Ägypten, Kl. II",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_024.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,BLS-G490100,ref_000024,obs_0000030436|obs_0000031626|obs_0000032494|obs_0000003240|obs_0000004008|obs_0000026791|obs_0000026956|obs_0000000975|obs_0000001201|obs_0000009009|obs_0000004435|obs_0000025972|obs_0000004862|obs_0000034082|obs_0000003299|obs_0000006857|obs_0000002524|obs_0000001799,obs_0000030436|obs_0000031626|obs_0000032494
Chiquita Mango,Keine Marke,"€ 1,11","€ 1,49","pro Einheit = 1,11","Peru, Kl. I",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_025.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000025,obs_0000028050|obs_0000009349|obs_0000029722|obs_0000028316|obs_0000021278|obs_0000004393|obs_0000024112|obs_0000033713|obs_0000000306|obs_0000034740|obs_0000027322|obs_0000029883|obs_0000004820|obs_0000026453|obs_0000009816|obs_0000031322|obs_0000016865|obs_0000020459|obs_0000025584|obs_0000026739|obs_0000003966,obs_0000028050|obs_0000027322|obs_0000026739
Chiquita Bananen,Keine Marke,"€ 1,99","€ 2,49","pro Einheit = 1,99",Costa Rica/Panama,Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_026.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000026,obs_0000005880|obs_0000031875|obs_0000027051|obs_0000032185|obs_0000032060|obs_0000029136|obs_0000027736|obs_0000026329|obs_0000028769|obs_0000031472|obs_0000031729|obs_0000009078|obs_0000026492,obs_0000005880|obs_0000027736|obs_0000026329|obs_0000028769|obs_0000009078
Passionsfrucht,Keine Marke,"€ 1,69",,"pro Einheit = 1,69",Kolumbien,Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_027.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,BLS-F508100,ref_000027,obs_0000008964|obs_0000003114|obs_0000028626|obs_0000033714|obs_0000030613|obs_0000013976|obs_0000027420|obs_0000028512|obs_0000013440|obs_0000011388|obs_0000006968|obs_0000006963,obs_0000008964|obs_0000003114|obs_0000028626|obs_0000033714|obs_0000030613|obs_0000013976|obs_0000027420|obs_0000028512
Mini Cherryrispentomaten,Keine Marke,"€ 2,49","€ 2,99","1 kg = 12,45","Niederlande, Kl. I",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_028.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,,ref_000028,obs_0000026794|obs_0000026165|obs_0000012328|obs_0000006379|obs_0000008462|obs_0000010932|obs_0000017530|obs_0000009425|obs_0000026024|obs_0000009888|obs_0000018128|obs_0000016216,obs_0000026794|obs_0000030918|obs_0000030960|obs_0000029129|obs_0000029204|obs_0000029276|obs_0000031461|obs_0000029588|obs_0000029814|obs_0000030141|obs_0000026165
Speisefrühkartoffeln,Keine Marke,"€ 2,99",,"1 kg = 1,50","Ägypten, Kocheigenschaft: festkochend",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_029.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_kartoffeln,tag_ultra_processed,tag_whole_food",,,ref_000029,obs_0000013906|obs_0000008858|obs_0000008524,obs_0000013906|obs_0000008858|obs_0000008524
Orangen,Keine Marke,"€ 2,99","€ 3,99","1 kg = 1,99","Spanien, Kl. I",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_030.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,BLS-F603100,ref_000030,obs_0000031118|obs_0000024463|obs_0000028048|obs_0000008977|obs_0000021906|obs_0000028056|obs_0000014361|obs_0000029592|obs_0000024992|obs_0000025768|obs_0000019119|obs_0000008755|obs_0000010164|obs_0000034743|obs_0000026554|obs_0000009787|obs_0000032059|obs_0000032323|obs_0000016457|obs_0000029131|obs_0000027858|obs_0000027355|obs_0000029277|obs_0000009316|obs_0000030565|obs_0000030827|obs_0000017005|obs_0000031473|obs_0000029823|obs_0000034315|obs_0000033934|obs_0000001301|obs_0000029591|obs_0000014877|obs_0000030120|obs_0000031152|obs_0000033716|obs_0000026166|obs_0000033854|obs_0000012742|obs_0000010184|obs_0000015310|obs_0000025425|obs_0000006483|obs_0000016210|obs_0000015711|obs_0000010976|obs_0000013417|obs_0000034020|obs_0000027756,obs_0000031118|obs_0000024463|obs_0000028048|obs_0000008977|obs_0000021906|obs_0000028056|obs_0000014361|obs_0000029592|obs_0000024992|obs_0000025768|obs_0000019119|obs_0000008755|obs_0000010164|obs_0000034743|obs_0000026554|obs_0000009787|obs_0000032059|obs_0000032323|obs_0000016457|obs_0000029131|obs_0000027858|obs_0000027355|obs_0000029277|obs_0000009316|obs_0000030565|obs_0000030827|obs_0000017005|obs_0000031473|obs_0000029823
Mandarinen,Keine Marke,"€ 2,79","€ 3,49","pro Einheit = 2,79","Spanien, Kl. I",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_031.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,BLS-F606100,ref_000031,obs_0000029577|obs_0000002444|obs_0000028686|obs_0000030862|obs_0000019728|obs_0000028566|obs_0000000157|obs_0000019106|obs_0000029478|obs_0000025646|obs_0000006967|obs_0000016695|obs_0000017600|obs_0000009920|obs_0000005319|obs_0000029146|obs_0000030566|obs_0000030443|obs_0000009457|obs_0000010492|obs_0000029576|obs_0000027153|obs_0000021145|obs_0000024101|obs_0000024103|obs_0000032331|obs_0000026960|obs_0000020326|obs_0000005872|obs_0000000501|obs_0000012673|obs_0000005688|obs_0000005871|obs_0000005325|obs_0000006091|obs_0000006263|obs_0000005501,obs_0000029577|obs_0000002444|obs_0000028686|obs_0000030862|obs_0000019728|obs_0000028566|obs_0000000157|obs_0000019106|obs_0000029478|obs_0000025646|obs_0000006967|obs_0000016695|obs_0000017600|obs_0000009920|obs_0000005319|obs_0000029146|obs_0000030566|obs_0000030443|obs_0000009457|obs_0000010492
Apfel rot,Keine Marke,"€ 1,79","€ 2,29","pro Einheit = 1,79","Italien, Kl. I",Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_032.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,BLS-F110100,ref_000032,,
Mandarin-Orangen,Keine Marke,"€ 1,29","€ 1,49","1 kg = 7,37",leicht gezuckert,Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_033.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,,ref_000033,obs_0000010184|obs_0000006483|obs_0000034020|obs_0000011762|obs_0000031118|obs_0000024463|obs_0000028048|obs_0000008977|obs_0000021906|obs_0000028056|obs_0000014361|obs_0000029592|obs_0000024992|obs_0000025768|obs_0000019119|obs_0000008755|obs_0000010164|obs_0000034743|obs_0000026554|obs_0000009787|obs_0000032059|obs_0000032323|obs_0000016457|obs_0000029131|obs_0000027858|obs_0000027355|obs_0000029277|obs_0000009316|obs_0000030565|obs_0000030827|obs_0000017005|obs_0000031473|obs_0000029823,obs_0000010184|obs_0000006483|obs_0000034020|obs_0000011762
Obstkonserven,Keine Marke,"€ 1,99","€ 2,49","1 kg = 6,03 - 6,42",versch. Sorten,Nein,"Wochenangebote gültig von Montag, 30.03.26 - Samstag, 04.04.26",30.03.26,04.04.26,../images/netto/netto_offer_034.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000034,obs_0000034884,
